OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3372	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
ASV_3392	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Unassigned
ASV_3467	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Unassigned
ASV_4044	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	Cephalotrichum_tenuissimum_SH2330200.08FU
ASV_4216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Acicuseptoria	Acicuseptoria_rumicis_SH1614481.08FU
ASV_4753	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6393	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2047	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	Unassigned
ASV_2137	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2620	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unassigned	Unassigned
ASV_3623	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Unassigned	Unassigned	Unassigned
ASV_3708	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
ASV_4282	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
ASV_2030	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Unassigned	Unassigned	Unassigned
ASV_2568	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Brachyphoris	Unassigned
ASV_2920	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Unassigned
ASV_3021	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_3085	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_3090	Fungi	Ascomycota	Sordariomycetes	Annulatascales	Annulatascaceae	Dictyosporella	Unassigned
ASV_3258	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_3928	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Unassigned	Unassigned	Unassigned
ASV_4795	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_5499	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
ASV_2570	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Trichopezizella	Unassigned
