OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_5119	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_5364	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Unassigned	Unassigned
ASV_5908	Eukaryota	Cercozoa	Filosa-Imbricatea	Euglyphida	Unassigned	Unassigned	Unassigned
ASV_6913	Eukaryota	Opalozoa	MAST-12	MAST-12C	MAST-12C_X	MAST-12C_XX	MAST-12C_XX_sp.
ASV_1603	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Unassigned	Unassigned
ASV_2461	Eukaryota	Cercozoa	Endomyxa	Vampyrellida	Thalassomyxa-lineage	Thalassomyxa-lineage_X	Thalassomyxa-lineage_X_sp.
ASV_2932	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Oxytrichidae_X	Oxytrichidae_X_sp.
ASV_3728	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Thaumatomonas	Unassigned
ASV_3784	Eukaryota	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.
ASV_5299	Eukaryota	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofilidae_X	Limnofilidae_X_sp.
ASV_6834	Eukaryota	Lobosa	Tubulinea	Euamoebida	LOS7N/I-lineage	Unassigned	Unassigned
ASV_1154	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandona	Unassigned
ASV_1536	Eukaryota	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	Unassigned	Unassigned
ASV_2216	Eukaryota	Opalozoa	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Unassigned	Unassigned
ASV_2230	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.
ASV_2561	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_4185	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.
ASV_4640	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_7010	Eukaryota	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	CONThreeP_XXX	CONThreeP_XXX_sp.
ASV_2309	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Teretomonas	Teretomonas_sp.
ASV_2497	Eukaryota	Lobosa	Tubulinea	Echinamoebida	Vermamoebidae	Hartmannella	Hartmannella_vermiformis
ASV_3169	Eukaryota	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Unassigned	Unassigned
ASV_6853	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandona	Sandona_sp.
ASV_3038	Eukaryota	Cercozoa	Endomyxa	Vampyrellida	sm27-lineage	sm27-lineage_X	sm27-lineage_X_sp.
ASV_3097	Eukaryota	Conosa	Variosea	Variosea_X	Unassigned	Unassigned	Unassigned
ASV_3101	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_3351	Eukaryota	Pseudofungi	Oomycota	Oomycota_X	Oomycota_XX	Oomycota_XXX	Oomycota_XXX_sp.
ASV_3429	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Apocyrtolophosis	Unassigned
ASV_3802	Eukaryota	Cercozoa	Filosa-Granofilosea	Cryptofilida	Mesofilidae	Mesofilidae_X	Mesofilidae_X_sp.
ASV_4264	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Unassigned	Unassigned
ASV_1562	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Platyophryida	Platyophryida_X	Platyophryida_X_sp.
ASV_2253	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.
ASV_6477	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1649	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2152	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.
ASV_2175	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Unassigned	Unassigned
ASV_2195	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_virgaria
ASV_3301	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_4031	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Colpodida	Unassigned	Unassigned
ASV_2146	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosidida_X	Cyrtolophosidida_X_sp.
ASV_4206	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_4518	Eukaryota	Lobosa	Tubulinea	Nolandida	Nolandellidae	Nolandellidae_X	Nolandellidae_X_sp.
ASV_5111	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_1568	Eukaryota	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Epispathidium_2	Epispathidium_terricola
ASV_1796	Eukaryota	Conosa	Variosea	Variosea_X	Unassigned	Unassigned	Unassigned
ASV_1879	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Unassigned	Unassigned
ASV_3283	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.
ASV_4356	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosidida_X	Cyrtolophosidida_X_sp.
ASV_5030	Eukaryota	Lobosa	Tubulinea	Euamoebida	Hartmannellidae	Unassigned	Unassigned
ASV_5371	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_5481	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas_sp.
ASV_5682	Eukaryota	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.
ASV_1399	Eukaryota	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	CONThreeP_XXX	CONThreeP_XXX_sp.
ASV_2482	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_2646	Eukaryota	Conosa	Variosea	Variosea_X	Schizoplasmodiids	Unassigned	Unassigned
ASV_2728	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
ASV_2754	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_3170	Eukaryota	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofilidae_X	Limnofilidae_X_sp.
ASV_3570	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
ASV_3854	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.
