OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_835	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_filiformis
ASV_749	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Acrobeloides	Unassigned
ASV_1303	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aglenchus	Aglenchus_agricola
ASV_3456	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_800	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Unassigned	Unassigned
ASV_1421	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimus	Tylencholaimus_parvus
ASV_1525	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Alaimus	Alaimus_parvus
ASV_1155	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimellus	Tylencholaimellus_affinis
ASV_701	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Clavicaudoides	Clavicaudoides_sp.
ASV_830	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_sp.
ASV_1509	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1424	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_968	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Aphelenchoides_bicaudatus
ASV_2711	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_1355	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimus	Tylencholaimus_sp.
ASV_803	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_741	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1072	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_978	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Unassigned
ASV_495	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Macrobiotus	Macrobiotus_sp.
ASV_5807	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_3282	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_2809	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Unassigned
ASV_804	Eukaryota	Metazoa	Craniata	Craniata_X	Craniata_XX	Craniata_XXX	Craniata_XXX_sp.
ASV_601	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Gehypochthonius	Gehypochthonius_sp.
ASV_566	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1933	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Filenchus	Unassigned
ASV_2367	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1071	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_2312	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_3598	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1462	Eukaryota	Metazoa	Arthropoda	Hexapoda	Collembola	Collembola_X	Collembola_X_sp.
ASV_1177	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Filenchus	Unassigned
ASV_1456	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1988	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1033	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Tylenchus	Tylenchus_naranensis
ASV_4893	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_filiformis
ASV_1225	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1352	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_847	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paraphelenchus	Paraphelenchus_acontioides
ASV_1735	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1745	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_529	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Unassigned	Unassigned
ASV_1133	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Paravulvus	Paravulvus_hartingii
ASV_1672	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Filenchus	Filenchus_vulgaris
ASV_5363	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Hemifridericia	Hemifridericia_parva
ASV_4689	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1544	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchus	Aphelenchus_avenae
ASV_2034	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_848	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Rotifera_XXX	Rotifera_XXX_sp.
ASV_974	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Unassigned	Unassigned
ASV_1810	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Campydora	Campydora_demonstrans
ASV_964	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_604	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Rotifera_XXX	Rotifera_XXX_sp.
ASV_644	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_5320	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_661	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Unassigned
ASV_799	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_973	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Unassigned	Unassigned
ASV_1631	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_6629	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Acrobeloides	Acrobeloides_sp.
ASV_984	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Stigmalychus	Stigmalychus_sp.
ASV_2046	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_1212	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_5629	Eukaryota	Metazoa	Arthropoda	Hexapoda	Collembola	Folsomia	Folsomia_candida
ASV_673	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Unassigned	Unassigned
ASV_3989	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_857	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_1146	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_1041	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tripylina	Tripylina_zhejiangensis
